PLAYER_ID,RANK,PLAYER,TEAM_ID,TEAM,GP,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,EFF,AST_TOV,STL_TOV
1630793,140,Giorgi Bezhanishvili,1612709929,CPS,23,583,93,149,0.624,1,7,0.143,23,39,0.59,46,85,131,49,7,8,39,62,231,315,1.26,0.18
1628959,140,Rawle Alkins,1612709903,SLC,22,586,86,183,0.47,19,55,0.345,27,37,0.73,37,103,140,81,18,15,41,48,231,337,1.98,0.44
1629126,142,Deonte Burton,1612709914,STO,18,555,87,163,0.534,30,69,0.435,15,17,0.882,23,72,95,52,17,14,32,40,228,296,1.63,0.53
1629646,143,Charles Bassey,1612709890,AUS,10,299,101,149,0.678,6,16,0.375,10,15,0.667,36,57,93,23,9,14,24,24,226,288,0.96,0.38
1628979,143,Trevon Duval,1612709917,GRG,22,395,85,175,0.486,10,39,0.256,27,40,0.675,11,40,51,59,20,6,39,26,226,220,1.51,0.51
1628411,143,Wes Iwundu,1612709914,STO,21,598,78,169,0.462,27,70,0.386,25,30,0.833,13,89,102,57,24,3,29,36,226,287,1.97,0.83
1628408,146,PJ Dozier,1612709911,IWA,11,364,82,182,0.451,36,96,0.375,11,17,0.647,21,43,64,44,15,7,20,25,225,229,2.2,0.75
1630929,147,Henri Drell,1612709923,WCB,20,603,77,169,0.456,28,83,0.337,25,34,0.735,25,89,114,41,23,10,34,54,223,276,1.21,0.68
1628450,148,Eric Mika,1612709930,GLI,17,433,96,144,0.667,0,0,0.0,20,31,0.645,54,111,165,66,16,14,26,45,222,398,2.54,0.61
1630676,148,Justin Smith,1612709909,DEL,23,496,102,165,0.618,1,4,0.25,9,24,0.375,46,55,101,26,23,14,26,69,222,282,1.0,0.89
1630758,150,Aleem Ford,1612709925,LAK,19,534,78,185,0.422,52,142,0.366,7,9,0.778,19,39,58,16,11,2,8,30,221,191,2.0,1.38
1630753,150,Cameron Young,1612709930,GLI,20,413,68,170,0.4,18,61,0.295,38,43,0.884,8,34,42,22,8,4,20,38,221,170,1.1,0.4
1631368,150,Justin Bean,1612709926,MHU,21,525,81,157,0.516,23,59,0.39,21,25,0.84,40,95,135,25,16,15,20,30,221,312,1.25,0.8
1629735,153,Chris Silva,1612709929,CPS,14,345,81,135,0.6,0,1,0.0,36,46,0.783,39,85,124,32,9,21,41,51,220,301,0.78,0.22
1631237,154,Tevin Brown,1612709910,FWN,23,575,81,175,0.463,35,105,0.333,13,18,0.722,9,79,88,41,22,11,25,32,218,256,1.64,0.88
1630539,155,Kai Jones,1612709922,GBO,14,391,93,124,0.75,3,8,0.375,17,20,0.85,25,94,119,20,16,27,24,40,217,341,0.83,0.67
1631214,156,Alondes Williams,1612709921,LIN,15,380,81,154,0.526,25,65,0.385,16,24,0.667,13,54,67,34,18,7,22,39,216,239,1.54,0.82
1629010,156,Jerome Robinson,1612709902,SCW,14,397,75,161,0.466,26,61,0.426,24,26,0.923,20,47,67,65,11,6,34,30,216,243,1.91,0.32
1631122,158,Gabe Brown,1612709920,RAP,18,401,76,159,0.478,47,109,0.431,8,8,1.0,10,45,55,10,6,4,15,23,209,186,0.67,0.4
1631453,158,"James Kelly, Sr.",1612709913,BIR,21,476,93,172,0.541,2,18,0.111,11,21,0.524,42,120,162,30,23,21,35,41,209,321,0.86,0.66
1630611,160,Gui Santos,1612709902,SCW,17,463,76,155,0.49,25,76,0.329,17,20,0.85,29,76,105,36,13,7,41,51,208,246,0.88,0.32
1629633,160,Jarrett Culver,1612709908,RGV,13,415,78,191,0.408,19,65,0.292,20,30,0.667,32,77,109,33,15,11,44,29,208,209,0.75,0.34
1631303,160,Justin Minaya,1612709931,MXC,19,656,82,174,0.471,28,88,0.318,9,22,0.409,22,58,80,44,38,27,18,41,208,274,2.44,2.11
1631395,160,London Johnson,1612709930,GLI,20,510,73,178,0.41,14,47,0.298,29,37,0.784,12,27,39,58,20,7,33,59,208,186,1.76,0.61
1631384,164,Jayce Johnson,1612709902,SCW,21,563,80,139,0.576,1,1,1.0,24,50,0.48,121,170,291,37,7,28,34,70,205,449,1.09,0.21
1630322,165,Lindy Waters III,1612709889,OKL,12,408,68,141,0.482,33,87,0.379,21,22,0.955,8,61,69,42,19,9,14,39,204,255,3.0,1.36
1631301,166,Jaylen Sims,1612709922,GBO,22,511,68,157,0.433,26,75,0.347,25,32,0.781,21,72,93,42,10,1,20,28,203,233,2.1,0.5
1629051,166,Quinton Rose,1612709919,WES,22,576,76,204,0.373,28,96,0.292,12,16,0.75,13,56,69,38,29,10,27,43,203,190,1.41,1.07
